12  20.6    1.9 9
13  23.8    2.3 18
14  28.8    2.4 18
15  30.4    2.6 14
16  33.9    2.3 17
17  38.4    2.6 22
18  41.1    2.7 17
19  43.9    1.8 25
20  47.0    2.9 22
21  50.1    2.8 22
22  53.1    3.2 21
23  57.3    3.7 21
24  59.5    3.4 24
25  62.1    2.5 21
26  65.9    3.2 20
27  70.1    3.7 23
28  72.8    2.8 20
29  76.4    2.8 22
30  76.8    2.6 20
31  79.8    3.7 26
32  82.0    2.9 23
33  83.0    4.2 22
34  85.5    3.4 18
35  87.3    3.3 20
36  89.0    4.2 21
37  90.8    4.3 16
38  92.4    4.0 16
39  94.0    5.0 11
40  94.8    3.6 14  
41  95.8    2.1 17
42  97.5    3.3 12
