12    9.5    1.2 10
13  11.9    1.9 18
14  15.4    2.0 18
15  18.2    2.4 15
16  21.5    2.4 20
17  24.7    2.2 23
18  28.0    2.6 20
19  30.5    2.2 25
20  33.6    2.2 22
21  36.3    2.4 23
22  38.2    2.7 22
23  41.9    2.5 22
24  45.0    3.4 25
25  45.9    2.7 22
26  48.8    2.4 22
27  51.3    3.3 24
28  53.2    2.7 20
29  56.5    2.5 22
30  56.0    2.7 21
31  61.1    3.1 27
32  61.8    2.6 26
33  63.4    2.9 23
34  64.2    3.1 20
35  67.3    2.4 22
36  68.7    3.0 25
37  71.5    3.6 19
38  70.4    2.7 21
39  72.9    3.9 14
40  75.1    3.1 15
41  75.3    3.0 26
42  76.1    3.6 17
